date,close_price,simple_avg,pe
2020-01-21,221.44,221.44,30.334246575342465
2020-01-22,221.32,221.38,30.317808219178083
2020-01-23,219.76,220.84,30.104109589041094
2020-01-24,217.94,220.115,29.854794520547944
2020-01-27,214.87,219.06599999999997,29.434246575342467
2020-01-28,217.79,218.33599999999996,29.834246575342465
2020-01-29,223.23,218.718,30.57945205479452
2020-01-30,209.53,216.67199999999997,28.7027397260274
2020-01-31,201.91,213.46599999999998,27.65890410958904
2020-02-03,204.19,211.33,27.971232876712328
2020-02-04,209.83,209.73799999999997,28.743835616438357
2020-02-05,210.11,207.11400000000003,28.782191780821922
2020-02-06,210.85,207.37800000000001,28.883561643835616
2020-02-07,212.33,209.462,29.086301369863016
2020-02-10,213.06,211.23600000000002,29.186301369863013
2020-02-11,207.19,210.708,28.38219178082192
2020-02-12,210.76,210.83800000000002,28.871232876712327
2020-02-13,213.14,211.29599999999996,29.197260273972603
2020-02-14,214.18,211.666,29.339726027397262
2020-02-18,217.8,212.61399999999998,29.835616438356166
2020-02-19,217.49,214.67399999999998,29.793150684931508
2020-02-20,214.58,215.43800000000002,29.39452054794521
2020-02-21,210.18,214.846,28.79178082191781
2020-02-24,200.72,212.154,27.495890410958904
2020-02-25,196.77,207.94800000000004,26.954794520547946
2020-02-26,197.2,203.89000000000004,27.013698630136986
2020-02-27,189.75,198.92400000000004,25.993150684931507
2020-02-28,192.47,195.382,26.365753424657534
2020-03-02,196.44,194.52599999999998,26.90958904109589
2020-03-03,185.89,192.35,25.464383561643835
2020-03-04,191.76,191.262,26.268493150684932
2020-03-05,185.17,190.346,25.365753424657534
2020-03-06,181.09,188.07,24.806849315068494
2020-03-09,169.5,182.682,23.21917808219178
2020-03-10,178.19,181.142,24.40958904109589
2020-03-11,170.24,176.83800000000002,23.32054794520548
2020-03-12,154.47,170.69800000000004,21.16027397260274
2020-03-13,170.28,168.536,23.326027397260276
2020-03-16,146.01,163.83800000000002,20.001369863013696
2020-03-17,149.42,158.084,20.46849315068493
2020-03-18,146.96,153.428,20.13150684931507
2020-03-19,153.13,153.16,20.976712328767125
2020-03-20,149.73,149.05,20.51095890410959
2020-03-23,148.1,149.468,20.28767123287671
2020-03-24,160.98,151.78,22.052054794520547
2020-03-25,156.21,153.63,21.398630136986302
2020-03-26,163.34,155.672,22.375342465753427
2020-03-27,156.79,157.084,21.47808219178082
2020-03-30,165.95,160.65400000000002,22.732876712328768
2020-03-31,166.8,161.818,22.84931506849315
2020-04-01,159.6,162.496,21.863013698630137
2020-04-02,158.19,161.46599999999998,21.66986301369863
2020-04-03,154.18,160.94400000000002,21.12054794520548
2020-04-06,165.55,160.86399999999998,22.678082191780824
2020-04-07,168.83,161.27,23.127397260273973
2020-04-08,174.28,164.206,23.873972602739727
2020-04-09,175.19,167.60600000000005,23.9986301369863
2020-04-13,174.79,171.728,23.943835616438356
2020-04-14,178.17,174.252,24.40684931506849
2020-04-15,176.97,175.87999999999997,24.242465753424657
2020-04-16,176.25,176.27399999999997,24.143835616438356
2020-04-17,179.24,177.084,24.553424657534247
2020-04-20,178.24,177.774,24.416438356164385
2020-04-21,170.8,176.3,23.397260273972606
2020-04-22,182.28,177.36200000000002,24.96986301369863
2020-04-23,185.13,179.138,25.36027397260274
2020-04-24,190.07,181.304,26.03698630136986
2020-04-27,187.5,183.156,25.684931506849317
2020-04-28,182.91,185.578,25.056164383561644
2020-04-29,194.19,187.96,26.601369863013698
2020-04-30,204.71,191.87599999999998,28.042465753424658
2020-05-01,202.27,194.316,27.708219178082192
2020-05-04,205.26,197.868,28.11780821917808
2020-05-05,207.07,202.7,28.365753424657534
2020-05-06,208.47,205.55599999999998,28.557534246575344
2020-05-07,211.26,206.86599999999999,28.93972602739726
2020-05-08,212.35,208.882,29.089041095890412
2020-05-11,213.18,210.46599999999998,29.2027397260274
2020-05-12,210.1,211.07199999999997,28.78082191780822
2020-05-13,205.1,210.398,28.095890410958905
2020-05-14,206.81,209.50799999999998,28.330136986301373
2020-05-15,210.88,209.214,28.887671232876713
2020-05-18,213.19,209.21599999999998,29.204109589041096
2020-05-19,216.88,210.57199999999997,29.709589041095892
2020-05-20,229.97,215.546,31.502739726027396
2020-05-21,231.39,220.462,31.697260273972603
2020-05-22,234.91,225.26799999999997,32.179452054794524
2020-05-26,232.2,229.07,31.80821917808219
2020-05-27,229.14,231.522,31.38904109589041
2020-05-28,225.46,230.61999999999998,30.884931506849316
2020-05-29,225.09,229.36000000000004,30.834246575342465
2020-06-01,231.91,228.76,31.768493150684932
2020-06-02,232.72,228.86400000000003,31.87945205479452
2020-06-03,230.16,229.06799999999998,31.528767123287672
2020-06-04,226.29,229.23399999999998,30.9986301369863
2020-06-05,230.77,230.37000000000003,31.61232876712329
2020-06-08,231.4,230.26799999999997,31.698630136986303
2020-06-09,238.67,231.458,32.6945205479452
2020-06-10,236.73,232.772,32.42876712328767
2020-06-11,224.43,232.4,30.743835616438357
2020-06-12,228.58,231.962,31.31232876712329
2020-06-15,232.5,232.18200000000002,31.84931506849315
2020-06-16,235.65,231.57800000000003,32.28082191780822
2020-06-17,235.53,231.33800000000002,32.26438356164384
2020-06-18,235.94,233.64000000000001,32.32054794520548
2020-06-19,238.79,235.68199999999996,32.71095890410959
2020-06-22,239.22,237.026,32.76986301369863
2020-06-23,242.24,238.344,33.18356164383562
2020-06-24,234.02,238.042,32.057534246575344
2020-06-25,235.68,237.99,32.28493150684932
2020-06-26,216.08,233.448,29.6
2020-06-29,220.64,229.73200000000003,30.224657534246575
2020-06-30,227.07,226.698,31.105479452054794
2020-07-01,237.55,227.404,32.54109589041096
2020-07-02,233.42,226.952,31.975342465753425
2020-07-06,240.28,231.792,32.915068493150685
2020-07-07,240.86,235.83599999999996,32.99452054794521
2020-07-08,243.58,239.138,33.367123287671234
2020-07-09,244.5,240.52800000000002,33.49315068493151
2020-07-10,245.07,242.858,33.57123287671233
